Graduate,OR Analyst,Accountant,Computer Analyst,Financial Specialist
1,88351.44,69067.91,80172.56,62641.76
2,83394.85,72429.6,86552.42,65644.74
3,81903.77,77043.5,79993.9,66613.75
4,85704.2,70776.94,76997.1,67950.29
5,77241.91,76796.36,73354.72,66515.23
6,86237.68,72476.34,83069.83,66488.87
7,79627.15,77182.27,80609.99,68486.28
8,77003.4,69684.5,90772.91,65782.0
9,77263.7,69663.62,87629.02,69675.74
10,83430.82,64053.71,79827.86,66650.11
11,80841.1,70482.89,89965.74,67339.05
12,72706.93,74454.12,80857.89,63419.35
13,79815.51,70785.42,84612.19,64504.74
14,69842.73,72119.12,86274.16,68207.48
15,84786.92,67899.44,84966.04,69867.5
16,93847.08,73812.28,83729.31,66150.53
17,83156.16,71144.5,84869.96,63275.86
18,80409.46,68106.66,86450.61,69904.96
19,81544.29,70744.76,85940.31,66053.89
20,80395.19,68680.55,78426.42,72139.35
