Resident,Miles to their doctor,Age,Monthly income ($),Male
1,3,63,3264,n
2,1,58,3464,n
3,7,77,3334,n
4,7,65,3318,n
5,2,61,3815,n
6,8,61,3521,n
7,9,59,3225,n
8,5,65,3429,y
9,8,58,2879,y
10,2,65,3943,y
11,1,64,3514,n
12,1,60,2863,n
13,8,58,2915,n
14,8,57,3099,y
15,1,70,3077,y
16,6,57,3507,y
17,6,59,3877,y
18,4,59,3210,n
19,7,64,4079,n
20,1,61,3645,y
21,5,56,3181,y
22,7,71,3650,n
23,8,55,3320,n
24,5,55,3957,y
25,9,65,3126,n
26,2,58,3751,n
27,3,59,2698,n
28,8,55,3453,n
29,2,58,3282,n
30,9,69,3604,y
31,8,69,3602,y
32,2,55,3829,n
33,2,61,3580,y
34,1,67,3086,n
35,6,66,3311,y
36,6,63,3706,y
37,4,65,3152,y
38,5,63,2931,y
39,4,59,2915,n
40,7,68,3420,y
41,8,62,3016,y
42,8,61,3799,n
43,6,60,3717,y
44,4,55,3885,n
45,6,65,3870,y
46,3,56,3263,y
47,5,68,3659,n
48,2,73,3863,n
