Guest,Primary activity,Amenity used most
1,Cross-country ski,Bar/restaurant
2,Cross-country ski,Bus route
3,Cross-country ski,Hot tub
4,Cross-country ski,Bar/restaurant
5,Cross-country ski,Hot tub
6,Cross-country ski,Hot tub
7,Downhill ski,Hot tub
8,Downhill ski,Hot tub
9,Downhill ski,Hot tub
10,Downhill ski,Hot tub
11,Downhill ski,Bus route
12,Downhill ski,Bar/restaurant
13,Downhill ski,Hot tub
14,Downhill ski,Pool
15,Downhill ski,Bar/restaurant
16,Downhill ski,Spa
17,Downhill ski,Hot tub
18,Downhill ski,Pool
19,Downhill ski,Hot tub
20,Downhill ski,Hot tub
21,Downhill ski,Hot tub
22,Downhill ski,Hot tub
23,Downhill ski,Hot tub
24,Downhill ski,Hot tub
25,Downhill ski,Hot tub
26,Downhill ski,Bus route
27,Downhill ski,Spa
28,Downhill ski,Bar/restaurant
29,Downhill ski,Hot tub
30,Shop,Bus route
31,Shop,Bar/restaurant
32,Shop,Bar/restaurant
33,Shop,Pool
34,Shop,Spa
35,Shop,Spa
36,Shop,Spa
37,Shop,Spa
38,Shop,Hot tub
39,Shop,Bar/restaurant
40,Shop,Hot tub
41,Shop,Spa
42,Shop,Spa
43,Shop,Spa
44,Shop,Spa
45,Shop,Spa
46,Shop,Spa
47,Shop,Spa
48,Snowboard,Spa
49,Snowboard,Bar/restaurant
50,Snowboard,Bar/restaurant
51,Snowboard,Spa
52,Snowboard,Bus route
53,Snowboard,Bus route
54,Snowboard,Bar/restaurant
55,Snowboard,Bus route
56,Snowboard,Bar/restaurant
57,Snowboard,Spa
58,Snowboard,Bar/restaurant
59,Snowboard,Pool
60,Snowboard,Bar/restaurant
61,Snowboard,Bar/restaurant
62,Snowboard,Bar/restaurant
63,Snowboard,Bar/restaurant
64,Snowboard,Spa
65,Snowshoe,Bar/restaurant
66,Snowshoe,Spa
67,Snowshoe,Hot tub
68,Snowshoe,Hot tub
69,Snowshoe,Bar/restaurant
70,Snowshoe,Bus route
71,Snowshoe,Bus route
72,Snowshoe,Bar/restaurant
73,Snowshoe,Hot tub
