Customer,Variant,CX score (1 to 10)
A-001,A (current),5.5
A-002,A (current),8.5
A-003,A (current),7.5
A-004,A (current),8.5
A-005,A (current),6.5
A-006,A (current),6.0
A-007,A (current),9.0
A-008,A (current),7.5
A-009,A (current),8.5
A-010,A (current),7.5
A-011,A (current),7.0
A-012,A (current),8.0
A-013,A (current),5.5
A-014,A (current),10.0
A-015,A (current),5.5
A-016,A (current),5.5
A-017,A (current),6.5
A-018,A (current),6.5
A-019,A (current),10.0
A-020,A (current),7.0
A-021,A (current),8.5
A-022,A (current),10.0
A-023,A (current),7.0
A-024,A (current),10.0
A-025,A (current),6.0
A-026,A (current),7.5
A-027,A (current),9.0
A-028,A (current),9.0
A-029,A (current),4.5
A-030,A (current),7.0
A-031,A (current),5.5
A-032,A (current),9.0
A-033,A (current),8.0
A-034,A (current),7.5
A-035,A (current),10.0
A-036,A (current),4.5
A-037,A (current),9.0
A-038,A (current),5.5
A-039,A (current),6.0
A-040,A (current),7.5
B-001,B (new),8.0
B-002,B (new),10.0
B-003,B (new),8.0
B-004,B (new),5.5
B-005,B (new),8.0
B-006,B (new),7.5
B-007,B (new),8.5
B-008,B (new),7.5
B-009,B (new),9.0
B-010,B (new),10.0
B-011,B (new),8.0
B-012,B (new),8.0
B-013,B (new),8.0
B-014,B (new),10.0
B-015,B (new),8.0
B-016,B (new),5.0
B-017,B (new),7.0
B-018,B (new),9.5
B-019,B (new),9.0
B-020,B (new),10.0
B-021,B (new),6.0
B-022,B (new),8.0
B-023,B (new),9.5
B-024,B (new),9.0
B-025,B (new),7.0
B-026,B (new),8.0
B-027,B (new),8.0
B-028,B (new),7.0
B-029,B (new),8.0
B-030,B (new),7.5
B-031,B (new),7.5
B-032,B (new),9.0
B-033,B (new),9.5
B-034,B (new),7.5
B-035,B (new),10.0
B-036,B (new),9.0
B-037,B (new),9.0
B-038,B (new),7.5
B-039,B (new),8.5
B-040,B (new),9.5
