Customer,Age,Gender,Channel,Rewards Member,Number of Items,Order Total ($),Items Returned,Orders This Month
SG-001,57,Male,Online,No,2,69.27,0,2
SG-002,33,Female,Online,No,4,69.76,0,3
SG-003,21,Male,Online,No,7,50.41,1,1
SG-004,29,Female,In-Store,No,1,73.65,0,3
SG-005,23,Female,In-Store,No,1,60.5,1,2
SG-006,49,Male,Online,Yes,4,117.25,0,3
SG-007,63,Male,Online,No,5,109.84,1,1
SG-008,48,Male,Online,No,3,121.91,1,2
SG-009,18,Male,Online,Yes,4,128.73,0,2
SG-010,43,Male,In-Store,Yes,3,145.82,0,5
SG-011,25,Female,In-Store,Yes,6,93.74,0,3
SG-012,35,Male,In-Store,No,2,108.22,0,1
SG-013,21,Female,Online,No,2,12.0,0,2
SG-014,64,Female,In-Store,No,1,65.56,0,1
SG-015,18,Female,Online,Yes,3,152.97,0,4
SG-016,60,Female,Online,Yes,1,111.09,0,3
SG-017,63,Female,In-Store,No,4,61.64,0,2
SG-018,30,Male,Online,Yes,3,88.23,0,4
SG-019,20,Female,Online,No,1,81.34,0,3
SG-020,48,Male,Online,Yes,1,127.74,0,2
SG-021,27,Female,Online,Yes,3,111.89,1,2
SG-022,18,Male,Online,No,2,45.68,0,2
SG-023,26,Male,Online,Yes,5,96.46,0,4
SG-024,27,Male,Online,No,5,140.35,0,2
SG-025,52,Female,Online,No,3,148.93,0,3
SG-026,34,Female,Online,No,2,86.0,0,3
SG-027,29,Male,Online,No,4,152.83,0,1
SG-028,18,Female,In-Store,No,3,67.65,0,1
SG-029,69,Male,In-Store,No,3,122.52,0,3
SG-030,41,Female,In-Store,Yes,3,133.26,0,2
SG-031,18,Female,Online,Yes,5,195.24,1,2
SG-032,40,Female,Online,No,4,75.11,0,1
SG-033,27,Male,In-Store,Yes,7,129.28,0,5
SG-034,28,Male,In-Store,No,1,119.78,0,2
SG-035,33,Male,Online,No,4,53.03,0,2
SG-036,47,Male,Online,No,3,100.54,0,2
SG-037,18,Female,In-Store,No,1,94.9,1,1
SG-038,59,Female,In-Store,Yes,7,143.73,0,4
SG-039,46,Male,Online,No,3,89.54,0,1
SG-040,49,Male,Online,No,2,45.57,0,1
SG-041,62,Male,Online,No,4,62.47,0,4
SG-042,34,Male,Online,No,2,61.17,0,1
SG-043,58,Male,Online,Yes,5,106.83,0,4
SG-044,46,Female,Online,Yes,3,143.11,0,1
SG-045,32,Male,In-Store,No,1,126.03,0,3
SG-046,30,Male,Online,No,2,15.49,0,2
SG-047,18,Female,Online,No,1,99.46,0,3
SG-048,55,Female,Online,No,4,70.62,0,2
SG-049,27,Male,Online,Yes,5,136.87,0,4
SG-050,51,Female,In-Store,Yes,1,117.32,1,2
SG-051,57,Female,Online,No,1,30.49,0,3
SG-052,36,Female,Online,Yes,8,135.98,1,3
SG-053,45,Male,In-Store,No,5,108.9,2,2
SG-054,29,Female,Online,Yes,7,88.43,0,1
SG-055,40,Male,In-Store,Yes,4,131.16,0,2
SG-056,53,Male,Online,Yes,2,146.14,0,3
SG-057,25,Female,In-Store,No,1,92.05,0,4
SG-058,51,Male,In-Store,No,5,174.38,1,3
SG-059,44,Male,In-Store,Yes,7,100.65,0,7
SG-060,52,Female,In-Store,Yes,1,144.05,0,3
SG-061,49,Female,In-Store,No,5,128.99,0,1
SG-062,34,Male,In-Store,Yes,3,164.74,0,2
SG-063,60,Female,Online,No,2,61.42,0,2
SG-064,42,Male,Online,No,3,136.46,0,1
SG-065,42,Male,Online,No,1,51.84,0,2
SG-066,50,Female,In-Store,No,1,63.95,0,3
SG-067,51,Female,Online,Yes,5,183.14,1,3
SG-068,58,Male,Online,Yes,1,149.34,0,2
SG-069,54,Female,Online,No,3,111.52,0,1
SG-070,46,Male,In-Store,No,2,153.78,0,1
SG-071,28,Male,Online,No,2,54.92,0,2
SG-072,27,Female,In-Store,No,5,68.22,0,4
SG-073,29,Male,Online,Yes,1,101.7,0,5
SG-074,40,Male,Online,No,1,77.06,0,2
SG-075,19,Female,Online,No,2,119.72,0,1
SG-076,37,Male,In-Store,No,2,126.32,0,2
SG-077,37,Female,In-Store,Yes,2,85.66,0,5
SG-078,36,Male,Online,Yes,1,122.87,0,3
SG-079,30,Female,In-Store,No,2,105.6,0,1
SG-080,19,Female,In-Store,No,1,72.94,0,3
SG-081,20,Male,In-Store,Yes,1,119.86,0,3
SG-082,22,Female,Online,No,1,67.67,0,1
SG-083,56,Male,Online,No,1,125.84,1,1
SG-084,39,Male,Online,No,2,31.78,0,2
SG-085,39,Male,In-Store,No,2,78.72,1,1
SG-086,29,Female,Online,No,3,78.68,0,1
SG-087,23,Female,Online,No,1,105.58,0,2
SG-088,37,Male,Online,No,3,124.11,0,1
SG-089,23,Female,In-Store,No,2,95.72,0,2
SG-090,50,Male,Online,No,1,55.49,0,4
SG-091,39,Male,Online,No,1,84.03,0,1
SG-092,35,Male,Online,No,4,100.19,0,1
SG-093,54,Female,Online,Yes,2,82.33,0,3
SG-094,64,Female,Online,Yes,3,190.44,0,4
SG-095,40,Male,In-Store,No,5,75.82,1,3
SG-096,37,Female,Online,No,3,134.81,0,2
SG-097,33,Male,Online,No,3,66.32,0,1
SG-098,51,Female,Online,No,5,112.77,0,1
SG-099,43,Male,Online,Yes,5,150.36,0,2
SG-100,18,Female,Online,No,6,104.91,0,2
SG-101,57,Male,Online,Yes,4,101.05,1,2
SG-102,36,Female,Online,No,2,92.11,0,1
SG-103,48,Female,Online,Yes,1,143.55,0,2
SG-104,48,Female,Online,Yes,2,115.59,0,4
SG-105,45,Female,Online,No,1,120.19,0,1
SG-106,57,Male,Online,Yes,3,100.56,0,3
SG-107,39,Male,Online,No,1,159.29,0,2
SG-108,21,Male,Online,No,2,139.58,0,3
SG-109,33,Female,Online,Yes,2,68.91,0,3
SG-110,54,Female,In-Store,No,2,129.0,0,3
SG-111,27,Male,In-Store,Yes,4,95.53,0,5
SG-112,55,Female,In-Store,No,3,89.94,1,3
SG-113,48,Male,Online,No,1,90.51,0,1
SG-114,67,Male,In-Store,No,1,96.2,0,3
SG-115,70,Male,In-Store,No,7,54.3,0,4
SG-116,57,Female,Online,No,1,77.1,0,2
SG-117,25,Female,Online,No,2,87.2,0,2
SG-118,37,Female,In-Store,No,2,44.66,0,1
SG-119,34,Male,Online,No,3,140.69,0,3
SG-120,51,Female,In-Store,No,1,111.1,0,1
SG-121,41,Male,In-Store,No,3,61.09,0,3
SG-122,37,Male,Online,No,7,74.35,0,1
SG-123,55,Female,In-Store,Yes,5,91.93,1,2
SG-124,56,Male,Online,Yes,4,132.05,0,5
SG-125,28,Female,Online,Yes,3,111.89,0,3
SG-126,63,Female,Online,No,4,54.64,0,1
SG-127,38,Female,Online,No,1,154.0,0,4
SG-128,19,Male,Online,No,1,87.43,0,1
SG-129,44,Male,In-Store,Yes,5,120.23,1,4
SG-130,45,Female,Online,No,1,76.49,0,1
SG-131,75,Female,Online,No,2,57.11,0,3
SG-132,40,Male,In-Store,Yes,4,180.52,0,3
SG-133,18,Male,Online,Yes,4,104.5,0,2
SG-134,36,Female,Online,Yes,1,92.81,1,2
SG-135,52,Male,Online,No,3,78.79,0,2
SG-136,39,Female,Online,No,2,100.25,0,3
SG-137,38,Female,Online,Yes,4,127.54,0,3
SG-138,43,Male,Online,No,3,60.83,0,1
SG-139,19,Female,Online,No,1,67.47,0,3
SG-140,18,Male,Online,No,2,95.36,0,1
SG-141,56,Female,In-Store,No,3,41.77,0,2
SG-142,42,Female,Online,No,1,49.95,0,3
SG-143,30,Female,Online,Yes,4,149.84,0,1
SG-144,31,Male,In-Store,No,2,75.41,0,1
SG-145,44,Female,Online,No,2,135.02,0,1
SG-146,24,Male,In-Store,Yes,2,177.37,0,6
SG-147,21,Male,Online,No,2,83.0,0,2
SG-148,64,Female,Online,No,2,76.7,0,2
SG-149,42,Female,Online,No,5,44.53,0,3
SG-150,53,Female,In-Store,Yes,3,63.8,1,4
SG-151,51,Male,Online,No,3,146.03,0,3
SG-152,43,Female,Online,No,2,72.57,0,3
SG-153,49,Male,Online,No,2,64.78,0,2
SG-154,20,Female,In-Store,Yes,3,100.25,0,4
SG-155,18,Male,Online,Yes,3,104.14,0,5
SG-156,28,Male,Online,No,2,70.4,0,2
SG-157,56,Male,Online,No,3,126.56,0,1
SG-158,27,Female,Online,Yes,6,165.21,0,1
SG-159,34,Female,Online,No,2,54.02,1,3
SG-160,48,Female,Online,No,6,94.18,0,2
SG-161,52,Male,Online,Yes,2,151.63,0,3
SG-162,45,Male,In-Store,No,5,98.21,1,1
SG-163,51,Female,Online,Yes,5,104.68,1,2
SG-164,41,Male,Online,No,3,82.67,0,2
SG-165,51,Female,In-Store,No,1,128.93,0,2
SG-166,51,Female,In-Store,Yes,6,127.36,1,5
SG-167,23,Female,Online,No,3,88.66,0,2
SG-168,41,Female,In-Store,No,2,154.54,0,4
SG-169,39,Female,Online,No,2,98.43,0,2
SG-170,31,Female,Online,No,3,37.6,0,1
SG-171,38,Male,Online,No,3,76.41,0,1
SG-172,26,Male,Online,No,1,144.62,0,2
SG-173,44,Female,Online,No,1,78.01,0,1
SG-174,20,Female,In-Store,Yes,3,100.28,1,2
SG-175,44,Male,In-Store,No,3,109.43,0,1
SG-176,56,Male,In-Store,Yes,4,187.49,0,5
SG-177,54,Female,Online,No,1,72.49,0,2
SG-178,26,Female,In-Store,Yes,6,103.34,1,5
SG-179,41,Female,Online,No,1,60.94,0,3
SG-180,18,Female,Online,No,2,75.61,0,1
SG-181,33,Female,Online,No,3,49.46,0,1
SG-182,33,Male,In-Store,Yes,2,135.45,0,3
SG-183,32,Male,In-Store,No,2,80.98,0,1
SG-184,33,Female,In-Store,No,4,59.43,0,3
SG-185,23,Male,In-Store,No,1,99.18,0,1
SG-186,28,Female,Online,No,2,27.14,0,4
SG-187,40,Female,Online,No,1,110.89,0,4
SG-188,45,Male,Online,No,2,84.76,0,1
SG-189,53,Male,In-Store,Yes,2,108.55,0,5
SG-190,36,Male,Online,Yes,6,82.34,0,4
SG-191,33,Male,In-Store,No,4,53.23,0,3
SG-192,36,Female,In-Store,No,3,116.26,0,3
SG-193,29,Female,Online,No,3,47.27,0,1
SG-194,40,Male,In-Store,Yes,4,90.11,0,4
SG-195,41,Male,In-Store,No,2,133.48,0,2
SG-196,32,Male,Online,Yes,5,119.59,1,4
SG-197,27,Female,In-Store,Yes,10,127.85,1,2
SG-198,60,Male,In-Store,Yes,4,166.18,0,2
SG-199,30,Male,In-Store,No,2,126.77,1,2
SG-200,32,Female,In-Store,Yes,3,113.15,1,5
SG-201,30,Male,Online,Yes,3,66.64,0,3
SG-202,44,Female,Online,Yes,3,116.5,1,5
SG-203,18,Female,Online,No,1,130.66,0,1
SG-204,30,Male,Online,No,2,17.66,0,2
SG-205,49,Male,Online,No,1,85.43,0,2
SG-206,46,Male,Online,No,3,63.36,0,2
SG-207,51,Female,In-Store,No,4,98.2,0,1
SG-208,35,Male,Online,No,1,106.42,0,1
SG-209,19,Male,Online,No,2,172.6,0,1
SG-210,58,Female,Online,Yes,3,91.93,0,4
SG-211,31,Female,Online,No,1,65.82,0,3
SG-212,25,Male,Online,Yes,3,117.22,0,3
SG-213,43,Female,Online,Yes,3,46.21,0,4
SG-214,62,Male,In-Store,No,2,148.5,0,1
SG-215,33,Male,Online,No,4,74.17,2,1
SG-216,44,Female,Online,No,5,197.41,0,2
SG-217,41,Female,Online,No,3,110.47,0,1
SG-218,40,Female,Online,No,4,151.65,0,1
SG-219,28,Male,Online,No,4,139.08,0,1
SG-220,18,Female,In-Store,No,2,110.37,0,1
SG-221,41,Female,In-Store,No,3,90.7,0,2
SG-222,44,Male,Online,No,3,55.48,0,1
SG-223,28,Male,Online,Yes,7,98.17,0,2
SG-224,36,Female,In-Store,No,2,32.46,0,4
SG-225,38,Female,Online,No,1,83.16,0,3
SG-226,32,Male,Online,No,2,92.97,0,2
SG-227,34,Male,Online,Yes,3,129.33,0,3
SG-228,37,Female,In-Store,Yes,4,152.55,0,1
SG-229,26,Female,In-Store,Yes,3,137.06,0,3
SG-230,29,Female,In-Store,Yes,3,130.66,1,3
SG-231,21,Female,Online,Yes,1,103.66,0,3
SG-232,36,Female,In-Store,No,1,53.92,0,1
SG-233,36,Female,Online,No,1,69.95,0,1
SG-234,54,Male,Online,No,2,64.84,0,4
SG-235,65,Female,Online,Yes,3,130.44,0,3
SG-236,31,Female,Online,No,1,78.89,0,1
SG-237,32,Female,In-Store,No,2,22.63,0,4
SG-238,33,Male,Online,No,1,74.71,0,1
SG-239,65,Female,Online,No,1,44.97,1,1
SG-240,67,Male,Online,Yes,1,124.56,0,3
SG-241,45,Male,In-Store,No,1,68.29,0,3
SG-242,18,Female,Online,No,3,123.2,0,3
SG-243,53,Female,In-Store,Yes,4,139.23,0,3
SG-244,75,Female,Online,Yes,3,58.17,0,1
SG-245,24,Female,Online,No,4,92.22,0,3
SG-246,28,Female,Online,No,2,91.45,0,1
SG-247,40,Male,In-Store,No,2,93.93,0,3
SG-248,29,Female,Online,No,2,163.49,0,4
SG-249,23,Male,Online,Yes,2,113.51,1,3
SG-250,58,Male,In-Store,Yes,3,95.4,0,3
